Epoch,M1_0 Train Loss,M1_0 Train Acc,M1_0 Vali. Acc,M1_1 Train Loss,M1_1 Train Acc,M1_1 Vali. Acc,M0_0 Train Loss,M0_0 Train Acc,M0_0 Vali. Acc,M0_1 Train Loss,M0_1 Train Acc,M0_1 Vali. Acc
15000,0.555,0.81,0.8506,0.4457,0.86,0.8421,0.5035,0.85,0.8475,0.5035,0.85,0.8491
15100,0.4906,0.86,0.8506,0.5333,0.82,0.8421,0.5275,0.81,0.8475,0.5275,0.81,0.8491
15200,0.4401,0.88,0.8506,0.4788,0.86,0.8421,0.5337,0.85,0.8475,0.5337,0.85,0.8491
15300,0.5683,0.83,0.8506,0.6209,0.81,0.8421,0.5813,0.82,0.8475,0.5813,0.82,0.8491
15400,0.5651,0.83,0.8506,0.5232,0.84,0.8421,0.6477,0.8,0.8475,0.6477,0.8,0.8491
15500,0.6741,0.75,0.8506,0.6274,0.84,0.8421,0.6091,0.82,0.8475,0.6091,0.82,0.8491
15600,0.6178,0.8,0.8506,0.6275,0.76,0.8421,0.4375,0.88,0.8475,0.4375,0.88,0.8491
15700,0.3652,0.92,0.8506,0.4409,0.87,0.8421,0.5946,0.84,0.8475,0.5946,0.84,0.8491
15800,0.5913,0.79,0.8506,0.5985,0.81,0.8421,0.5897,0.82,0.8475,0.5897,0.82,0.8491
15900,0.615,0.82,0.8506,0.5809,0.87,0.8421,0.4706,0.87,0.8475,0.4706,0.87,0.8491
16000,0.5422,0.83,0.8506,0.653,0.8,0.8421,0.559,0.8,0.8475,0.559,0.8,0.8491
16100,0.527,0.79,0.8506,0.5005,0.88,0.8421,0.5245,0.86,0.8475,0.5245,0.86,0.8491
16200,0.6649,0.79,0.8506,0.6523,0.76,0.8421,0.4232,0.84,0.8475,0.4232,0.84,0.8491
16300,0.6875,0.77,0.8506,0.7411,0.75,0.8421,0.6026,0.83,0.8475,0.6026,0.83,0.8491
16400,0.4842,0.88,0.8506,0.5591,0.81,0.8421,0.5307,0.85,0.8475,0.5307,0.85,0.8491
16500,0.613,0.81,0.8506,0.6036,0.76,0.8421,0.6387,0.81,0.8475,0.6387,0.81,0.8491
16600,0.384,0.89,0.8506,0.475,0.87,0.8421,0.4763,0.87,0.8475,0.4763,0.87,0.8491
16700,0.4737,0.85,0.8506,0.4834,0.81,0.8421,0.6778,0.77,0.8475,0.6778,0.77,0.8491
16800,0.5211,0.81,0.8506,0.4341,0.87,0.8421,0.4939,0.85,0.8475,0.4939,0.85,0.8491
16900,0.4817,0.87,0.8506,0.5315,0.85,0.8421,0.5805,0.79,0.8475,0.5805,0.79,0.8491
17000,0.6143,0.84,0.8506,0.5586,0.87,0.8421,0.6794,0.8,0.8475,0.6794,0.8,0.8491
17100,0.6064,0.85,0.8506,0.564,0.83,0.8421,0.5259,0.89,0.8475,0.5259,0.89,0.8491
17200,0.397,0.86,0.8506,0.4145,0.88,0.8421,0.5145,0.85,0.8475,0.5145,0.85,0.8491
17300,0.3356,0.9,0.8506,0.3813,0.9,0.8421,0.6556,0.8,0.8475,0.6556,0.8,0.8491
17400,0.4437,0.85,0.8506,0.4133,0.91,0.8421,0.5178,0.84,0.8475,0.5178,0.84,0.8491
17500,0.5239,0.85,0.8506,0.5531,0.83,0.8421,0.5027,0.89,0.8475,0.5027,0.89,0.8491
17600,0.3963,0.87,0.8506,0.4406,0.86,0.8421,0.482,0.86,0.8475,0.482,0.86,0.8491
17700,0.5951,0.78,0.8506,0.575,0.8,0.8421,0.5078,0.86,0.8475,0.5078,0.86,0.8491
17800,0.4767,0.86,0.8506,0.4274,0.86,0.8421,0.5063,0.85,0.8475,0.5063,0.85,0.8491
17900,0.6279,0.82,0.8506,0.5878,0.76,0.8421,0.6434,0.81,0.8475,0.6434,0.81,0.8491
18000,0.4849,0.83,0.8506,0.47,0.82,0.8421,0.5499,0.84,0.8489,0.5499,0.84,0.8494
18100,0.5212,0.83,0.8506,0.5853,0.82,0.8421,0.6479,0.84,0.8489,0.6479,0.84,0.8494
18200,0.3907,0.89,0.8506,0.377,0.9,0.8421,0.5394,0.82,0.8567,0.5394,0.82,0.8586
18300,0.3947,0.9,0.8506,0.4227,0.88,0.8421,0.5252,0.83,0.8567,0.5252,0.83,0.8586
18400,0.386,0.88,0.8506,0.4173,0.86,0.8421,0.6943,0.8,0.8567,0.6943,0.8,0.8586
18500,0.5763,0.76,0.8506,0.5285,0.81,0.8421,0.4299,0.87,0.8567,0.4299,0.87,0.8586
18600,0.4661,0.89,0.8506,0.4611,0.83,0.8421,0.802,0.75,0.8567,0.802,0.75,0.8586
18700,0.5034,0.82,0.8506,0.5073,0.83,0.8421,0.6182,0.82,0.8567,0.6182,0.82,0.8586
18800,0.3512,0.9,0.8506,0.3874,0.89,0.8421,0.6257,0.8,0.8567,0.6257,0.8,0.8586
18900,0.5479,0.87,0.8506,0.4925,0.87,0.8421,0.5503,0.84,0.8567,0.5503,0.84,0.8586
19000,0.6453,0.76,0.8506,0.6015,0.75,0.8421,0.5781,0.83,0.8567,0.5781,0.83,0.8586
19100,0.4508,0.86,0.8506,0.4857,0.85,0.8421,0.4273,0.87,0.8567,0.4273,0.87,0.8586
19200,0.4383,0.86,0.8506,0.4862,0.84,0.8421,0.427,0.85,0.8567,0.427,0.85,0.8586
19300,0.6007,0.82,0.8506,0.5894,0.84,0.8421,0.4658,0.87,0.8567,0.4658,0.87,0.8586
19400,0.5257,0.81,0.8506,0.5972,0.8,0.8421,0.7145,0.75,0.8567,0.7145,0.75,0.8586
19500,0.511,0.87,0.8506,0.4758,0.86,0.8421,0.7155,0.79,0.8567,0.7155,0.79,0.8586
19600,0.5179,0.82,0.8506,0.5146,0.82,0.8421,0.567,0.84,0.8567,0.567,0.84,0.8586
19700,0.501,0.84,0.8506,0.4909,0.82,0.8421,0.8434,0.73,0.8567,0.8434,0.73,0.8586
19800,0.4638,0.85,0.8506,0.4658,0.85,0.8421,0.579,0.83,0.8567,0.579,0.83,0.8586
19900,0.5476,0.83,0.8506,0.5161,0.82,0.8421,0.472,0.88,0.8567,0.472,0.88,0.8586
20000,0.5949,0.79,0.8506,0.574,0.84,0.8421,0.4837,0.87,0.8567,0.4837,0.87,0.8586
20100,0.5382,0.81,0.8506,0.5072,0.81,0.8421,0.49,0.88,0.8567,0.49,0.88,0.8586
20199,0.4543,0.86,0.8506,0.4945,0.81,0.8421,0.5717,0.81,0.8567,0.5717,0.81,0.8586
0,0.7694,0.74,0.7864,0.6668,0.81,0.7965,0.6968,0.79,0.8235,0.7138,0.77,0.8206
100,0.6726,0.82,0.864,0.6629,0.85,0.8559,0.6133,0.8,0.8627,0.602,0.8,0.8633
200,0.6215,0.77,0.8701,0.5563,0.87,0.8622,0.4846,0.87,0.8637,0.4914,0.85,0.8654
300,0.4462,0.83,0.8701,0.5036,0.8,0.8634,0.6331,0.81,0.8637,0.6307,0.81,0.8665
400,0.6097,0.83,0.8768,0.6603,0.76,0.8634,0.6326,0.78,0.8637,0.6336,0.79,0.8665
500,0.5423,0.8,0.8768,0.4704,0.87,0.8634,0.5264,0.86,0.8692,0.4926,0.85,0.8692
600,0.676,0.83,0.8768,0.6324,0.77,0.8634,0.4758,0.84,0.8692,0.4936,0.84,0.8692
700,0.6026,0.8,0.8768,0.5194,0.87,0.865,0.5217,0.85,0.8692,0.5418,0.82,0.8692
800,0.6217,0.84,0.8768,0.6739,0.76,0.8657,0.3809,0.9,0.8692,0.3658,0.9,0.8692
900,0.5241,0.79,0.8768,0.3933,0.9,0.8657,0.6376,0.82,0.8692,0.6584,0.82,0.8692
1000,0.7388,0.81,0.881,0.7602,0.72,0.8657,0.3812,0.91,0.8692,0.3882,0.89,0.8692
1100,0.4957,0.86,0.881,0.498,0.86,0.8657,0.5818,0.83,0.8692,0.5811,0.81,0.8692
1200,0.4384,0.86,0.881,0.4358,0.85,0.8659,0.6456,0.8,0.8692,0.6485,0.78,0.8692
1300,0.4445,0.88,0.881,0.4438,0.87,0.8659,0.6335,0.8,0.8692,0.6518,0.82,0.8702
1400,0.4545,0.86,0.881,0.5166,0.81,0.8676,0.5128,0.82,0.8692,0.5065,0.84,0.8711
1500,0.4337,0.88,0.881,0.4246,0.87,0.8691,0.6131,0.8,0.8692,0.6054,0.79,0.8711
1600,0.4883,0.87,0.881,0.5265,0.85,0.8691,0.4477,0.87,0.8721,0.4612,0.87,0.8711
1700,0.5577,0.86,0.881,0.6412,0.8,0.8691,0.5356,0.81,0.8721,0.545,0.81,0.8711
1800,0.5369,0.78,0.881,0.6485,0.76,0.8691,0.5073,0.84,0.8721,0.523,0.84,0.8711
1900,0.3488,0.88,0.881,0.3651,0.86,0.8691,0.5574,0.83,0.8768,0.5514,0.83,0.8755
2000,0.4987,0.84,0.881,0.4654,0.86,0.8691,0.5615,0.8,0.8768,0.5667,0.79,0.8755
2100,0.5881,0.82,0.881,0.5525,0.85,0.8691,0.6767,0.82,0.8768,0.6592,0.82,0.8755
2200,0.3765,0.9,0.881,0.4265,0.89,0.8691,0.4795,0.92,0.8768,0.4796,0.92,0.8755
2300,0.4904,0.87,0.881,0.4544,0.85,0.8691,0.469,0.87,0.8768,0.4804,0.87,0.8755
2400,0.5996,0.85,0.881,0.6008,0.82,0.8691,0.5992,0.79,0.8768,0.5859,0.78,0.8755
2500,0.4747,0.89,0.881,0.4221,0.89,0.8691,0.4984,0.84,0.8768,0.5079,0.83,0.8755
2600,0.4867,0.82,0.881,0.4305,0.87,0.8691,0.4523,0.88,0.8768,0.4592,0.86,0.8755
2700,0.4794,0.84,0.881,0.5118,0.85,0.8693,0.5268,0.82,0.8768,0.5314,0.81,0.8755
2800,0.541,0.84,0.881,0.6461,0.77,0.8693,0.4855,0.82,0.8768,0.4823,0.85,0.8755
2900,0.3292,0.92,0.881,0.3666,0.91,0.8693,0.5291,0.84,0.8789,0.53,0.83,0.8765
3000,0.408,0.86,0.882,0.457,0.85,0.8693,0.7134,0.78,0.8789,0.7153,0.79,0.8765
3100,0.4225,0.86,0.882,0.4816,0.83,0.8693,0.6081,0.81,0.8789,0.6097,0.81,0.8765
3200,0.4243,0.87,0.882,0.4285,0.85,0.8693,0.4229,0.91,0.8789,0.4332,0.9,0.8765
3300,0.6221,0.8,0.882,0.5892,0.8,0.8693,0.529,0.86,0.8789,0.5124,0.88,0.8765
3400,0.628,0.78,0.882,0.5406,0.82,0.8739,0.4503,0.85,0.8789,0.4386,0.85,0.8775
3500,0.4879,0.83,0.882,0.5159,0.8,0.8739,0.4876,0.84,0.8789,0.5011,0.81,0.8775
3600,0.4825,0.88,0.882,0.4235,0.88,0.8739,0.7936,0.75,0.8789,0.8171,0.76,0.8775
3700,0.568,0.79,0.882,0.6117,0.84,0.8739,0.49,0.84,0.8789,0.5112,0.85,0.8775
3800,0.5258,0.82,0.882,0.5011,0.82,0.8739,0.4514,0.87,0.8789,0.4606,0.87,0.8775
3900,0.6597,0.8,0.882,0.6971,0.77,0.8739,0.4972,0.89,0.8789,0.5114,0.88,0.8775
4000,0.5318,0.84,0.882,0.4406,0.85,0.8739,0.5765,0.82,0.8789,0.5702,0.84,0.8775
4100,0.5361,0.81,0.882,0.5192,0.83,0.8739,0.7491,0.79,0.8789,0.724,0.77,0.8775
4200,0.4621,0.88,0.882,0.5257,0.8,0.8739,0.4346,0.9,0.8789,0.444,0.89,0.8775
4300,0.3589,0.89,0.882,0.2786,0.92,0.8739,0.6159,0.83,0.8789,0.5972,0.83,0.8775
4400,0.5011,0.83,0.882,0.4789,0.84,0.8739,0.6997,0.8,0.8789,0.707,0.79,0.8775
4500,0.5031,0.86,0.882,0.4717,0.86,0.8739,0.3992,0.88,0.8789,0.3954,0.88,0.8775
4600,0.3984,0.88,0.882,0.344,0.91,0.8739,0.5342,0.83,0.8789,0.5514,0.81,0.8775
4700,0.5564,0.84,0.8821,0.5358,0.85,0.8739,0.5356,0.84,0.8789,0.5623,0.84,0.8775
4800,0.4994,0.82,0.8821,0.4757,0.84,0.8739,0.6824,0.73,0.8789,0.6762,0.75,0.8775
4900,0.5527,0.79,0.8821,0.4981,0.82,0.8739,0.5563,0.82,0.8789,0.5517,0.85,0.8775
5000,0.5277,0.86,0.8821,0.5128,0.85,0.8739,0.4736,0.88,0.8789,0.4565,0.88,0.8775
5100,0.4004,0.9,0.8821,0.4514,0.84,0.8739,0.5918,0.82,0.8789,0.5976,0.83,0.8775
5200,0.6837,0.77,0.8821,0.6966,0.77,0.8739,0.5155,0.87,0.8789,0.5165,0.85,0.8775
5300,0.7549,0.79,0.8821,0.7343,0.8,0.8739,0.4947,0.84,0.8789,0.4736,0.84,0.8775
5400,0.5145,0.76,0.8821,0.5441,0.78,0.8739,0.5956,0.81,0.8789,0.6072,0.8,0.8775
5500,0.4358,0.88,0.8821,0.3916,0.89,0.8739,0.3612,0.9,0.8789,0.3593,0.9,0.8775
5600,0.5121,0.83,0.8821,0.511,0.85,0.8739,0.6045,0.85,0.8789,0.5988,0.84,0.8775
5700,0.3596,0.87,0.8821,0.4108,0.87,0.8739,0.6992,0.76,0.8789,0.6889,0.77,0.8775
5800,0.5313,0.81,0.8821,0.5461,0.81,0.8739,0.5797,0.84,0.8789,0.5888,0.84,0.8775
5900,0.4539,0.87,0.8821,0.4766,0.84,0.8739,0.4442,0.9,0.8789,0.4485,0.89,0.8775
6000,0.5651,0.83,0.8821,0.6317,0.8,0.8739,0.5096,0.87,0.8789,0.512,0.85,0.8775
6100,0.4486,0.87,0.8821,0.4318,0.85,0.8739,0.5192,0.84,0.8789,0.5189,0.84,0.8775
6200,0.5282,0.86,0.8821,0.5809,0.81,0.8739,0.5928,0.78,0.8789,0.5796,0.79,0.8775
6300,0.4902,0.82,0.8821,0.4128,0.83,0.8739,0.595,0.81,0.8789,0.5659,0.82,0.8775
6400,0.5795,0.8,0.8821,0.5953,0.81,0.8739,0.4402,0.89,0.8789,0.438,0.88,0.8775
6500,0.5128,0.87,0.8821,0.5513,0.8,0.8739,0.4994,0.83,0.8789,0.4951,0.84,0.8775
6600,0.4877,0.84,0.8821,0.4713,0.85,0.8739,0.5333,0.84,0.8805,0.5389,0.85,0.8775
6700,0.4696,0.85,0.8821,0.4661,0.85,0.8739,0.4032,0.85,0.8805,0.3911,0.85,0.8775
6800,0.467,0.88,0.8821,0.4737,0.87,0.8739,0.4063,0.92,0.8805,0.4081,0.91,0.8778
6900,0.4651,0.87,0.8821,0.4769,0.86,0.8739,0.6349,0.84,0.8805,0.6603,0.84,0.8778
7000,0.4502,0.85,0.8821,0.4269,0.89,0.8739,0.5688,0.81,0.8805,0.5531,0.8,0.8778
7100,0.485,0.83,0.8821,0.5181,0.8,0.8739,0.6457,0.82,0.8805,0.6505,0.83,0.8778
7200,0.4603,0.84,0.8821,0.4419,0.86,0.8739,0.5732,0.81,0.8805,0.5716,0.81,0.8778
7300,0.4576,0.85,0.8821,0.446,0.84,0.8739,0.4465,0.86,0.8805,0.4537,0.86,0.8778
7400,0.3775,0.87,0.8821,0.3167,0.9,0.8739,0.5308,0.85,0.8805,0.5267,0.86,0.8778
7500,0.526,0.82,0.8821,0.5319,0.86,0.8739,0.6443,0.79,0.8805,0.6406,0.8,0.8778
7600,0.5698,0.82,0.8821,0.5008,0.82,0.8739,0.5831,0.82,0.8805,0.5559,0.85,0.8778
7700,0.4599,0.88,0.8821,0.5092,0.85,0.8739,0.5223,0.87,0.8805,0.4975,0.89,0.8778
7800,0.5507,0.82,0.8821,0.5374,0.8,0.8739,0.335,0.91,0.8805,0.318,0.91,0.8791
7900,0.4894,0.83,0.8821,0.5204,0.84,0.8739,0.4726,0.84,0.8805,0.4822,0.85,0.8791
8000,0.4999,0.86,0.8821,0.4966,0.82,0.8739,0.4161,0.92,0.8805,0.4219,0.92,0.8791
8100,0.458,0.85,0.8821,0.4912,0.84,0.8739,0.4583,0.9,0.8805,0.4553,0.89,0.8791
8200,0.5319,0.8,0.8821,0.4982,0.82,0.8739,0.5492,0.83,0.8805,0.5656,0.83,0.8791
8300,0.5073,0.85,0.8821,0.4836,0.85,0.8739,0.5404,0.86,0.8805,0.5414,0.87,0.8791
8400,0.6497,0.81,0.8821,0.6954,0.78,0.8739,0.4746,0.81,0.8805,0.4588,0.8,0.8791
8500,0.3702,0.91,0.8821,0.3666,0.9,0.8739,0.4767,0.85,0.8805,0.4712,0.87,0.8791
8600,0.6274,0.81,0.8821,0.6016,0.81,0.8739,0.5647,0.84,0.8805,0.5476,0.85,0.8791
8700,0.3616,0.89,0.8821,0.4349,0.86,0.8739,0.8359,0.72,0.8805,0.8286,0.74,0.8791
8800,0.4239,0.86,0.8821,0.4389,0.88,0.8739,0.6901,0.76,0.8805,0.7171,0.76,0.8791
8900,0.5978,0.8,0.8821,0.5544,0.83,0.8739,0.7341,0.77,0.8805,0.7552,0.77,0.8791
9000,0.4859,0.85,0.8821,0.529,0.81,0.8739,0.5319,0.84,0.8805,0.5268,0.84,0.8791
9100,0.5045,0.84,0.8821,0.4938,0.86,0.8739,0.5802,0.85,0.8805,0.5938,0.85,0.8791
9200,0.5013,0.85,0.8821,0.5414,0.83,0.8743,0.5797,0.82,0.8805,0.5666,0.81,0.8791
9300,0.5037,0.85,0.8821,0.4099,0.85,0.8743,0.6665,0.79,0.8805,0.6571,0.78,0.8791
9400,0.449,0.88,0.8821,0.4193,0.84,0.8743,0.5065,0.86,0.8805,0.5123,0.86,0.8791
9500,0.367,0.9,0.8821,0.3866,0.9,0.8743,0.608,0.79,0.8805,0.6029,0.81,0.8791
9600,0.4584,0.88,0.8821,0.4298,0.87,0.8743,0.5358,0.82,0.8805,0.5596,0.81,0.8791
9700,0.3474,0.9,0.8821,0.3777,0.86,0.8743,0.4714,0.87,0.8805,0.4795,0.85,0.8791
9800,0.4347,0.87,0.8821,0.3856,0.87,0.8743,0.5902,0.83,0.8805,0.5908,0.81,0.8791
9900,0.43,0.89,0.8821,0.4112,0.89,0.8743,0.4713,0.89,0.8805,0.4709,0.87,0.8791